Script started on 2025-04-20 19:10:08+02:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="67" LINES="17"]
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ ps -ef
[?2004lUID          PID    PPID  C STIME TTY          TIME CMD
tan        10906    8647  0 19:01 pts/1    00:00:00 bash
root       11037       2  0 19:10 ?        00:00:00 [kworker/5:0-cg
tan        11038   10906  0 19:10 pts/1    00:00:00 script ps-log.t
tan        11039   11038  0 19:10 pts/2    00:00:00 bash -i
root       11045       2  0 19:10 ?        00:00:00 [kworker/u32:3-
tan        11047   11039  0 19:10 pts/2    00:00:00 ps -ef
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ ps -f -u tan
[?2004lUID          PID    PPID  C STIME TTY          TIME CMD
tan         1973       1  0 16:15 ?        00:00:01 /usr/lib/system
tan         1979    1973  0 16:15 ?        00:00:00 (sd-pam)
tan         1990    1973  0 16:15 ?        00:00:05 /usr/bin/pipewi
tan         1991    1973  0 16:15 ?        00:00:00 /usr/bin/pipewi
tan         1994    1973  0 16:15 ?        00:00:04 /usr/bin/wirepl
tan         1996    1973  0 16:15 ?        00:00:03 /usr/bin/pipewi
tan         1998    1973  0 16:15 ?        00:00:00 /usr/bin/gnome-
tan         2008    1973  0 16:15 ?        00:00:02 /usr/bin/dbus-d
tan         2031    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2045    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2060    1957  0 16:15 tty2     00:00:00 /usr/libexec/gd
tan         2072    2060  0 16:15 tty2     00:00:00 /usr/libexec/gn
tan         2145    1973  0 16:15 ?        00:00:00 /usr/libexec/gc
tan         2151    1973  0 16:15 ?        00:00:00 /usr/libexec/gn
tan         2169    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2177    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2181    1973  0 16:15 ?        00:00:00 /usr/libexec/gn
tan         2225    1973 12 16:15 ?        00:21:29 /usr/bin/gnome-
tan         2228    2181  0 16:15 ?        00:00:00 /usr/libexec/at
tan         2239    2228  0 16:15 ?        00:00:00 /usr/bin/dbus-d
tan         2302    1973  0 16:15 ?        00:00:00 /usr/libexec/at
tan         2322    1973  0 16:15 ?        00:00:00 /usr/libexec/gn
tan         2329    1973  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2342    1973  0 16:15 ?        00:00:00 /usr/bin/gjs -m
tan         2362    1973  0 16:15 ?        00:00:17 /usr/bin/ibus-d
tan         2364    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2365    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2369    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2371    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2375    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2379    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2381    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2384    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2385    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2386    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2389    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2399    2181  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2400    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2446    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2452    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2472    2181  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2475    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2518    2362  0 16:15 ?        00:00:00 /usr/libexec/ib
tan         2519    2362  0 16:15 ?        00:00:05 /usr/libexec/ib
tan         2523    1973  0 16:15 ?        00:00:00 /usr/libexec/ib
tan         2545    1973  0 16:15 ?        00:00:00 /usr/libexec/go
tan         2561    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2574    1973  0 16:15 ?        00:00:00 /usr/libexec/go
tan         2583    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2587    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2599    1973  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2604    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2613    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2620    2225  0 16:15 ?        00:00:00 /usr/bin/Xwayla
tan         2625    1973  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2652    2362  0 16:15 ?        00:00:06 /usr/libexec/ib
tan         2673    1973  0 16:15 ?        00:00:00 /usr/libexec/dc
tan         2682    2169  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2706    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2756    1973  0 16:15 ?        00:00:01 /usr/libexec/tr
tan         2758    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2796    1973  0 16:15 ?        00:00:00 /usr/bin/gjs -m
tan         2815    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2830    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2843    1973  0 16:15 ?        00:00:00 /usr/libexec/ib
tan         2851    1973  0 16:15 ?        00:00:00 /usr/bin/VBoxCl
tan         2853    2225  0 16:15 ?        00:00:00 /usr/libexec/mu
tan         2854    2851  0 16:15 ?        00:00:00 /usr/bin/VBoxCl
tan         2877    1973  0 16:15 ?        00:00:00 /usr/bin/VBoxCl
tan         2878    2877  0 16:15 ?        00:00:01 /usr/bin/VBoxCl
tan         2896    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2909    1973  0 16:15 ?        00:00:00 /snap/snapd-des
tan         2982    2909  0 16:15 ?        00:00:00 /snap/snapd-des
tan         3004    2225  3 16:15 ?        00:05:51 /snap/firefox/5
tan         3177    3004  0 16:15 ?        00:00:00 /snap/firefox/5
tan         3191    3004  0 16:15 ?        00:00:06 /snap/firefox/5
tan         3197    3004  0 16:15 ?        00:00:02 /snap/firefox/5
tan         3245    1973  0 16:15 ?        00:00:00 /usr/bin/snap u
tan         3544    3004  0 16:15 ?        00:00:01 /snap/firefox/5
tan         3746    3004  0 16:15 ?        00:00:01 /snap/firefox/5
tan         3754    3004  0 16:15 ?        00:00:26 /snap/firefox/5
tan         3999    2181  0 16:16 ?        00:00:00 /usr/bin/update
tan         4648    3004  0 16:20 ?        00:01:00 /snap/firefox/5
tan         4754    3004  0 16:20 ?        00:01:08 /snap/firefox/5
tan         5350    1998  0 16:37 ?        00:00:00 /usr/bin/ssh-ag
tan         5839    3004  0 16:54 ?        00:00:46 /snap/firefox/5
tan         8093    1973  0 17:22 ?        00:00:38 /usr/bin/nautil
tan         8132    2169  0 17:22 ?        00:00:00 /usr/libexec/gv
tan         8351    3004  0 17:29 ?        00:00:14 /snap/firefox/5
tan         8638    1973  0 17:36 ?        00:00:00 /usr/bin/python
tan         8641    8638  0 17:36 ?        00:00:00 /usr/bin/gnome-
tan         8647    1973  0 17:36 ?        00:00:49 /usr/libexec/gn
tan         8654    8647  0 17:36 pts/0    00:00:00 bash
tan         8992    3004  0 17:46 ?        00:00:00 /snap/firefox/5
tan         9070    3004  0 17:47 ?        00:00:00 /snap/firefox/5
tan         9253    3004  0 17:54 ?        00:00:00 /snap/firefox/5
tan        10392    2225  0 18:48 ?        00:00:00 gjs /usr/share/
tan        10897    1973  0 19:01 ?        00:00:00 /usr/bin/python
tan        10900   10897  0 19:01 ?        00:00:00 /usr/bin/gnome-
tan        10906    8647  0 19:01 pts/1    00:00:00 bash
tan        11038   10906  0 19:10 pts/1    00:00:00 script ps-log.t
tan        11039   11038  0 19:10 pts/2    00:00:00 bash -i
tan        11048   11039  0 19:10 pts/2    00:00:00 ps -f -u tan
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ top &
[?2004l[1] 11049
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ [?1l>jobs -l
[?2004l[1]+ 11049 Stopped (signal)        top
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ kill -9 11049
[?2004l[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ jobs -l
[?2004l[1]+ 11049 Killed                  top
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ jobs -l
[?2004l[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ exit
[?2004lexit

Script done on 2025-04-20 19:11:03+02:00 [COMMAND_EXIT_CODE="0"]
